No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V,DTI,Accounts,FICO,FICO_Band,Utilization_Band,DTI_Band,DTI_Band_10pct,LoanAmount_Band,Asset_Band,Predicted_Chargeoff_Score
0,22,0,0,0,0,0,0,0,0,1,0,1,1,1938,0,1,0,929,0.30100804,35562,1,1,10523,0,,648,0.02612339,1,Fair,641-650,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1501-2000,0
1,23,0,0,1,0,0,0,0,1,0,0,0,0,505,3,3,0,926,0.230886185,28222,0,1,3634,0,,,0.032811282,1,,,Low (10-30%),Target (<36%),3–5%,Low (1K–5K),501-1000,0
0,20,0,0,0,0,0,0,0,0,0,0,0,1,2877,3,1,0,615.2,0.074911554,18594,1,0,0,0,,632,0.033085942,1,Fair,631-640,Very Low (<10%),Target (<36%),3–5%,No debt,>2500,0
0,21,0,0,1,0,0,0,0,1,0,0,0,0,904,3,0,0,96,0.237514461,30997,0,1,5471.9,1,,607,0.003097074,1,Fair,601-610,Low (10-30%),Target (<36%),<1%,Moderate (5K–10K),501-1000,1
1,18,0,0,0,0,0,0,0,0,0,0,1,0,2356,2,0,0,650.4,0.580325775,39159,0,1,3059.7,0,,,0.016609209,1,,,Moderate (30-60%),Target (<36%),1–3%,Low (1K–5K),2001-2500,0
0,22,0,0,0,0,0,1,0,0,0,0,1,0,1107,2,2,0,855,0.199094201,31788,1,0,0,0,,500,0.026896942,1,Poor,491-500,Low (10-30%),Target (<36%),1–3%,No debt,1001-1500,0
0,25,0,0,1,0,0,0,0,0,0,0,0,0,1229,1,2,0,982,0.393589563,20693,1,0,0,1,50,573,0.047455661,1,Poor,571-580,Moderate (30-60%),Target (<36%),3–5%,No debt,1001-1500,1
0,22,0,0,0,0,0,0,0,0,1,0,0,0,2428,3,3,1,357,0.331883548,54660,0,1,2111,0,,626,0.006531284,1,Fair,621-630,Moderate (30-60%),Target (<36%),<1%,Low (1K–5K),2001-2500,0
1,18,0,0,0,0,0,1,0,0,0,0,0,1,1639,0,1,0,747.2,0.215334861,39404,1,1,2098.6,0,,,0.018962542,1,,,Low (10-30%),Target (<36%),1–3%,Low (1K–5K),1501-2000,0
0,23,0,0,0,0,0,0,0,0,0,0,0,0,2781,1,1,1,1107,0.034109168,36179,0,1,11431,0,,666,0.030597861,1,Fair,661-670,Very Low (<10%),Target (<36%),3–5%,High (10K–15K),>2500,0
0,22,0,0,0,0,0,0,0,1,0,1,0,0,2341,1,2,0,36,0.29393772,38551,0,0,0,0,,540,0.000933828,1,Poor,531-540,Low (10-30%),Target (<36%),<1%,No debt,2001-2500,0
0,24,0,0,0,0,0,0,0,0,1,0,0,0,1284,2,2,1,811,0.368553752,42949,0,0,0,0,,557,0.018882861,1,Poor,551-560,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
0,20,0,0,1,0,0,0,1,1,0,1,0,0,1654,3,2,0,192,0.061318776,49668,0,1,12943,1,,526,0.003865668,1,Poor,521-530,Very Low (<10%),Target (<36%),<1%,High (10K–15K),1501-2000,1
0,21,0,0,1,0,0,0,0,1,0,0,1,0,1289,2,1,0,704.8,0.057222973,51952,0,0,0,0,,600,0.013566369,1,Fair,591-600,Very Low (<10%),Target (<36%),1–3%,No debt,1001-1500,0
0,18,0,0,1,0,0,1,0,1,1,0,1,0,430,0,0,0,444.8,0.253432028,40253,0,0,0,1,,548,0.011050108,1,Poor,541-550,Low (10-30%),Target (<36%),1–3%,No debt,<500,1
0,21,0,0,0,0,0,1,0,0,1,0,1,1,2470,0,2,0,536,0.362072867,53609,0,1,5488,0,,649,0.009998321,1,Fair,641-650,Moderate (30-60%),Target (<36%),<1%,Moderate (5K–10K),2001-2500,0
1,24,0,0,0,0,0,1,0,0,0,0,0,0,1011,1,1,0,349,0.2248013,31336,0,0,0,0,,,0.01113735,1,,,Low (10-30%),Target (<36%),1–3%,No debt,1001-1500,0
0,22,0,0,1,0,0,0,0,0,0,1,0,0,1735,1,2,0,861,0.336252249,49543,0,1,7858,0,,514,0.017378843,1,Poor,511-520,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),1501-2000,0
0,25,0,0,0,0,0,0,1,0,0,0,0,1,1330,3,0,0,14,0.365679119,20804,0,0,0,0,,527,0.000672948,1,Poor,521-530,Moderate (30-60%),Target (<36%),<1%,No debt,1001-1500,0
1,24,0,0,1,0,0,0,1,1,0,0,1,0,2605,0,2,0,654,0.183167746,20365,0,1,5675,0,,,0.032113921,1,,,Low (10-30%),Target (<36%),3–5%,Moderate (5K–10K),>2500,0
1,18,0,0,0,0,0,0,1,0,1,0,0,1,1596,1,1,0,156,0.121183438,29687,0,1,4448.5,0,,,0.005254825,1,,,Low (10-30%),Target (<36%),<1%,Low (1K–5K),1501-2000,0
1,20,0,0,0,0,0,1,1,0,1,0,1,0,1049,3,1,0,490.4,0.417530315,46658,1,1,7468.3,0,,,0.010510523,1,,,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),1001-1500,0
1,19,0,0,0,0,0,1,0,0,0,0,0,0,1631,2,0,0,230.4,0.237368749,52593,0,0,0,0,,,0.004380811,1,,,Low (10-30%),Target (<36%),<1%,No debt,1501-2000,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,2608,0,1,0,722.4,0.337519858,24360,0,0,0,0,,507,0.029655172,1,Poor,501-510,Moderate (30-60%),Target (<36%),1–3%,No debt,>2500,0
1,24,0,0,0,0,0,0,0,0,0,0,1,1,152,0,2,0,939,0.168289919,23769,1,0,0,0,,,0.039505238,1,,,Low (10-30%),Target (<36%),3–5%,No debt,<500,0
0,23,0,0,0,0,0,0,0,0,0,0,0,0,2704,2,0,0,394,0,35352,1,0,0,0,,584,0.011145055,1,Fair,581-590,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,0
1,19,0,0,0,0,0,0,0,0,0,0,1,0,1198,2,1,0,191.2,0.255463208,50277,0,1,2053.8,0,,,0.003802932,1,,,Low (10-30%),Target (<36%),<1%,Low (1K–5K),1001-1500,0
1,20,0,0,1,0,0,1,0,1,0,1,1,0,2145,0,0,0,613.6,0.323654207,33489,0,0,0,0,,,0.018322434,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,2001-2500,0
0,25,0,0,0,0,0,0,0,1,0,1,0,1,1622,2,1,0,11,0.283787701,53009,0,0,0,1,,576,0.000207512,1,Poor,571-580,Low (10-30%),Target (<36%),<1%,No debt,1501-2000,1
0,23,0,0,0,0,0,1,0,0,0,0,0,1,2554,1,2,0,443,0.165195124,35061,0,0,0,0,,669,0.012635122,1,Fair,661-670,Low (10-30%),Target (<36%),1–3%,No debt,>2500,0
0,25,0,0,0,0,0,1,0,0,1,0,0,0,2874,2,2,1,1673,0.123267671,19868,0,0,0,0,,503,0.084205758,1,Poor,501-510,Low (10-30%),Target (<36%),7–10%,No debt,>2500,0
0,25,0,0,1,0,0,1,0,1,1,0,1,0,199,0,1,0,119,0.167756431,23933,0,0,0,1,,556,0.004972214,1,Poor,551-560,Low (10-30%),Target (<36%),<1%,No debt,<500,1
0,24,0,0,0,0,0,0,0,0,1,0,0,0,1298,2,1,0,829,0.201208127,25017,1,0,0,0,,522,0.033137467,1,Poor,521-530,Low (10-30%),Target (<36%),3–5%,No debt,1001-1500,0
1,24,0,0,0,0,0,1,0,0,1,0,0,0,2664,2,0,0,387,0.361620514,40820,0,0,0,0,,,0.009480647,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,>2500,0
0,24,0,0,0,0,0,1,1,0,0,0,1,0,490,1,1,0,965,0.337723545,20064,0,0,0,0,,532,0.048096093,1,Poor,531-540,Moderate (30-60%),Target (<36%),3–5%,No debt,<500,0
1,19,0,0,0,0,0,1,0,0,0,0,0,0,963,2,1,0,221.6,0.283679278,19130,0,1,2882.6,0,,,0.0115839,1,,,Low (10-30%),Target (<36%),1–3%,Low (1K–5K),501-1000,0
1,19,0,0,0,0,0,0,0,0,0,0,1,1,175,0,2,0,427.2,0.2382751,37422,1,0,0,0,,,0.011415745,1,,,Low (10-30%),Target (<36%),1–3%,No debt,<500,0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,50,2,2,0,14.4,0.326597433,19234,1,1,17248.7,0,,,0.000748674,1,,,Moderate (30-60%),Target (<36%),<1%,Very High (>15K),<500,0
1,18,0,0,0,0,0,1,0,0,1,0,0,0,914,0,2,0,96,0,39207,0,0,0,0,,,0.002448542,1,,,Very Low (<10%),Target (<36%),<1%,No debt,501-1000,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,2879,1,0,0,94.4,0,29844,0,0,0,0,,569,0.003163115,1,Poor,561-570,Very Low (<10%),Target (<36%),<1%,No debt,>2500,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,234.4,0.221917541,25894,0,1,8628.9,0,,,0.00905229,1,,,Low (10-30%),Target (<36%),<1%,Moderate (5K–10K),1501-2000,0
1,23,0,0,1,0,0,0,0,1,0,0,0,0,830,0,2,0,985,0.471648278,33990,0,0,0,1,,,0.028979112,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,1
0,25,0,0,0,0,0,0,0,0,0,0,1,1,2439,2,1,0,281,0.168038364,54171,0,0,0,0,,645,0.005187277,1,Fair,641-650,Low (10-30%),Target (<36%),<1%,No debt,2001-2500,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,2389,3,2,0,54,0.473456833,26833,0,0,0,0,,679,0.002012447,1,Good,671-680,Moderate (30-60%),Target (<36%),<1%,No debt,2001-2500,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,2896,2,1,0,432.8,0.157626811,37116,0,0,0,0,,625,0.011660739,1,Fair,621-630,Low (10-30%),Target (<36%),1–3%,No debt,>2500,0
0,19,0,0,0,0,0,0,0,0,1,0,1,0,418,2,1,0,556.8,0.188308042,27106,0,0,0,0,,530,0.020541578,1,Poor,521-530,Low (10-30%),Target (<36%),1–3%,No debt,<500,0
0,20,0,0,0,0,0,1,0,0,1,0,0,0,1460,3,0,0,466.4,0,24590,0,0,0,0,,620,0.01896706,1,Fair,611-620,Very Low (<10%),Target (<36%),1–3%,No debt,1001-1500,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,1861,1,1,1,963.2,0.334875127,39415,0,0,0,0,,,0.024437397,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,1051,2,0,0,238.4,0.085734124,22318,1,0,0,0,,,0.010681961,1,,,Very Low (<10%),Target (<36%),1–3%,No debt,1001-1500,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,573,2,1,0,327,0.097427102,23948,0,0,0,0,,,0.013654585,1,,,Very Low (<10%),Target (<36%),1–3%,No debt,501-1000,0
1,21,0,0,1,0,0,0,0,1,0,1,0,0,277,0,2,0,578.4,0,42312,0,1,15668.8,0,,,0.013669881,1,,,Very Low (<10%),Target (<36%),1–3%,Very High (>15K),<500,0
1,19,0,0,0,0,0,0,0,0,0,0,0,1,812,2,0,0,728,0.04391296,37947,1,1,11347,0,,,0.019184652,1,,,Very Low (<10%),Target (<36%),1–3%,High (10K–15K),501-1000,0
0,24,0,0,0,0,0,1,0,1,1,1,0,0,980,0,2,0,262,0.180586283,21625,0,0,0,1,,571,0.012115607,1,Poor,571-580,Low (10-30%),Target (<36%),1–3%,No debt,501-1000,1
0,18,0,0,0,0,0,0,0,0,0,0,0,0,818,0,2,0,464,0.497582742,30631,1,0,0,0,,668,0.015148053,1,Fair,661-670,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
0,21,0,0,0,0,0,0,0,0,0,1,1,0,2827,1,2,0,529.6,0.300062588,37984,0,1,13284.6,0,,658,0.013942713,1,Fair,651-660,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),>2500,0
0,18,0,0,0,0,0,0,0,0,1,0,0,1,1976,0,2,0,652,0.505087663,52310,1,1,7536.2,0,,545,0.012464156,1,Poor,541-550,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),1501-2000,0
0,25,0,0,1,0,0,1,1,1,1,0,1,0,2062,2,0,0,246,0.128253702,35504,0,1,5370,1,,587,0.006928797,1,Fair,581-590,Low (10-30%),Target (<36%),<1%,Moderate (5K–10K),2001-2500,1
0,25,0,0,0,0,0,0,1,0,1,0,0,0,2547,3,1,1,1531,0.541234704,20671,0,0,0,0,,525,0.074065115,1,Poor,521-530,Moderate (30-60%),Target (<36%),7–10%,No debt,>2500,0
1,25,0,0,0,0,0,0,0,0,0,0,1,0,1192,2,1,0,923,0.432799031,38917,0,0,0,0,,,0.023717142,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
1,23,0,0,0,0,0,1,0,0,1,0,0,1,582,3,0,0,89,0.314513043,26598,0,1,13887,0,,,0.003346116,1,,,Moderate (30-60%),Target (<36%),<1%,High (10K–15K),501-1000,0
0,21,0,0,1,0,0,0,0,1,1,1,0,1,1569,3,1,1,1170.4,0.323834807,21331,0,1,2050.3,0,,549,0.054868501,1,Poor,541-550,Moderate (30-60%),Target (<36%),5–7%,Low (1K–5K),1501-2000,0
1,20,0,0,0,0,0,0,1,0,0,0,0,1,1087,2,0,0,26.4,0.248162507,52952,1,0,0,0,,,0.000498565,1,,,Low (10-30%),Target (<36%),<1%,No debt,1001-1500,0
0,24,0,0,0,0,0,0,1,0,0,0,0,0,2452,3,1,0,958,0.201012212,44547,1,0,0,0,,638,0.021505376,1,Fair,631-640,Low (10-30%),Target (<36%),1–3%,No debt,2001-2500,0
0,21,0,0,1,0,0,0,0,1,0,0,0,0,413,2,2,0,630.4,0.406281266,42355,1,1,3833.2,0,,530,0.014883721,1,Poor,521-530,Moderate (30-60%),Target (<36%),1–3%,Low (1K–5K),<500,0
0,19,0,0,1,0,0,0,1,1,0,1,0,1,411,2,1,0,516.8,0.110535608,35661,1,0,0,1,,622,0.014492022,1,Fair,621-630,Low (10-30%),Target (<36%),1–3%,No debt,<500,1
1,19,0,0,0,0,0,1,1,0,1,0,1,0,2465,3,0,0,463.2,0.475011607,29700,1,1,9761.5,0,,,0.01559596,1,,,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),2001-2500,0
1,24,0,0,0,0,0,0,1,0,0,0,0,0,1214,0,1,0,509,0.317253659,25649,1,0,0,0,,,0.019844828,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,1185,1,2,0,752,0.189674235,34057,0,0,0,0,,553,0.02208063,1,Poor,551-560,Low (10-30%),Target (<36%),1–3%,No debt,1001-1500,0
1,20,0,0,0,0,0,1,0,0,1,0,0,0,1454,0,1,0,670.4,0.403882706,23171,0,1,13594.7,0,,,0.028932718,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1001-1500,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,1785,1,1,1,609.6,0,29447,1,0,0,0,,647,0.020701599,1,Fair,641-650,Very Low (<10%),Target (<36%),1–3%,No debt,1501-2000,0
1,19,0,0,1,0,0,0,1,1,0,1,1,0,1375,1,1,0,287.2,0.11336744,45260,0,1,11708.2,0,,,0.006345559,1,,,Low (10-30%),Target (<36%),<1%,High (10K–15K),1001-1500,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,1273,1,0,0,613,0.218075821,50471,1,0,0,0,,533,0.012145589,1,Poor,531-540,Low (10-30%),Target (<36%),1–3%,No debt,1001-1500,0
0,23,0,0,0,0,0,1,0,0,0,0,0,1,1377,0,2,0,981,0.367940455,34130,0,0,0,0,,544,0.028743041,1,Poor,541-550,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
0,22,0,0,0,0,0,1,0,0,1,0,0,0,783,1,0,1,1045,0.325358158,35007,0,0,0,0,,629,0.029851173,1,Fair,621-630,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
1,23,0,0,0,0,0,1,0,0,1,0,0,0,1324,0,2,0,853,0.600982432,38967,0,0,0,0,,,0.021890317,1,,,High (60-100%),Target (<36%),1–3%,No debt,1001-1500,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,1937,0,1,0,52,0.359107337,18307,0,0,0,0,,,0.002840444,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,1501-2000,0
1,19,0,0,0,0,0,0,0,0,0,0,0,1,1960,0,1,0,715.2,0.4526112,25056,0,1,11363.8,0,,,0.028544061,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1501-2000,0
0,23,0,0,0,0,0,0,0,0,0,0,0,0,648,2,1,0,139,0.054045728,37337,0,0,0,0,,538,0.003722849,1,Poor,531-540,Very Low (<10%),Target (<36%),<1%,No debt,501-1000,0
1,18,0,0,0,0,0,1,1,0,1,0,1,0,2406,1,0,0,195.2,0.591734834,42232,1,1,8436.4,0,,,0.004622088,1,,,Moderate (30-60%),Target (<36%),<1%,Moderate (5K–10K),2001-2500,0
0,21,0,0,1,0,0,0,0,1,0,1,0,0,1183,0,0,0,704.8,0.429182309,28961,1,1,10856.3,1,,606,0.024336176,1,Fair,601-610,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1001-1500,1
1,19,0,0,0,0,0,0,0,0,0,0,0,0,2769,3,0,0,603.2,0.09104021,46688,0,0,0,0,,,0.012919808,1,,,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,0
0,23,0,0,0,0,0,0,0,0,0,0,0,1,1657,2,2,0,589,0.080412306,25645,0,1,9925,0,,603,0.02296744,1,Fair,601-610,Very Low (<10%),Target (<36%),1–3%,Moderate (5K–10K),1501-2000,0
0,24,0,0,0,0,0,1,0,0,1,0,1,0,2281,2,0,0,323,0.384436062,53745,1,0,0,0,,600,0.006009861,1,Fair,591-600,Moderate (30-60%),Target (<36%),<1%,No debt,2001-2500,0
0,20,0,0,0,0,0,1,0,0,0,0,0,0,1891,3,1,1,1416,0.373248674,25076,0,1,7449.4,0,,590,0.056468336,1,Fair,581-590,Moderate (30-60%),Target (<36%),5–7%,Moderate (5K–10K),1501-2000,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,166,1,2,1,1588.8,0.205868964,51427,1,0,0,0,,,0.030894277,1,,,Low (10-30%),Target (<36%),3–5%,No debt,<500,0
0,22,0,0,0,0,0,0,0,1,0,0,1,0,1029,1,1,0,320,0.399859745,41279,0,0,0,1,,571,0.007752126,1,Poor,571-580,Moderate (30-60%),Target (<36%),<1%,No debt,1001-1500,1
0,25,0,0,0,0,0,0,0,1,0,0,0,0,841,3,3,0,264,0.475854071,54563,0,0,0,1,,506,0.004838444,1,Poor,501-510,Moderate (30-60%),Target (<36%),<1%,No debt,501-1000,1
0,22,0,0,0,0,0,0,0,0,0,0,1,1,609,3,1,0,876,0.456292496,29255,0,0,0,0,,556,0.029943599,1,Poor,551-560,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,1272,2,0,0,729.6,0.33692669,43433,0,1,12516,0,,,0.016798287,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1001-1500,0
0,21,0,0,0,0,0,1,0,0,1,0,0,0,2767,0,0,0,285.6,0.061555643,20483,0,0,0,0,,514,0.01394327,1,Poor,511-520,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,0
0,22,0,0,0,0,0,1,1,0,0,0,0,0,228,1,2,0,169,0.18556596,19217,0,1,3502,0,,675,0.008794297,1,Good,671-680,Low (10-30%),Target (<36%),<1%,Low (1K–5K),<500,0
0,21,0,0,0,0,0,1,0,0,1,0,1,1,2641,3,2,0,641.6,0.009029733,26623,0,1,9346.4,0,,509,0.024099463,1,Poor,501-510,Very Low (<10%),Target (<36%),1–3%,Moderate (5K–10K),>2500,0
0,23,0,0,0,0,0,1,0,0,0,0,1,1,851,2,0,0,821,0.267214093,43992,0,0,0,0,,606,0.018662484,1,Fair,601-610,Low (10-30%),Target (<36%),1–3%,No debt,501-1000,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,864,3,1,0,419,0.236573318,45199,0,1,17034,0,,510,0.009270117,1,Poor,501-510,Low (10-30%),Target (<36%),<1%,Very High (>15K),501-1000,0
1,25,0,0,1,0,0,0,1,1,0,1,1,0,1389,3,2,1,1617,0.389389349,26046,0,0,0,1,,,0.062082469,1,,,Moderate (30-60%),Target (<36%),5–7%,No debt,1001-1500,1
0,21,0,0,0,0,0,1,0,0,0,0,0,1,1320,3,1,0,404,0.373505546,51484,1,0,0,0,,634,0.007847098,1,Fair,631-640,Moderate (30-60%),Target (<36%),<1%,No debt,1001-1500,0
0,23,0,0,1,0,0,0,0,1,0,0,1,0,2102,1,1,0,272,0.446796408,20416,0,1,13683,1,,608,0.013322884,1,Fair,601-610,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),2001-2500,1
1,24,0,0,0,0,0,0,0,0,1,0,0,0,1329,2,1,0,189,0.012175234,25935,1,0,0,0,,,0.007287449,1,,,Very Low (<10%),Target (<36%),<1%,No debt,1001-1500,0
0,20,0,0,0,0,0,0,0,0,0,0,1,0,1693,3,2,0,506.4,0.041210686,20369,1,1,2017.4,0,,525,0.024861309,1,Poor,521-530,Very Low (<10%),Target (<36%),1–3%,Low (1K–5K),1501-2000,0
0,24,0,0,0,0,0,0,1,0,0,0,0,1,2040,3,0,1,1360,0.167737512,33828,0,0,0,0,,528,0.040203382,1,Poor,521-530,Low (10-30%),Target (<36%),3–5%,No debt,2001-2500,0
0,25,0,0,1,0,0,0,1,1,1,0,0,0,1520,3,1,1,971,0.532754287,48268,0,0,0,0,,673,0.020116848,1,Good,671-680,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,2924,1,1,0,96,0.132041046,46610,0,0,0,0,,631,0.002059644,1,Fair,631-640,Low (10-30%),Target (<36%),<1%,No debt,>2500,0
1,19,0,0,0,0,0,1,0,0,1,0,1,0,2659,2,1,0,47.2,0,45559,1,0,0,0,,,0.001036019,1,,,Very Low (<10%),Target (<36%),<1%,No debt,>2500,0
0,21,0,0,0,0,0,1,0,0,1,0,0,0,707,3,1,0,18.4,0.084956507,31029,1,0,0,0,,612,0.000592994,1,Fair,611-620,Very Low (<10%),Target (<36%),<1%,No debt,501-1000,0
0,19,0,0,0,0,0,0,0,1,0,1,0,0,2355,3,1,1,351.2,0.049607562,46820,1,1,15312.5,0,,604,0.007501068,1,Fair,601-610,Very Low (<10%),Target (<36%),<1%,Very High (>15K),2001-2500,0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,536,1,0,0,932,0.544388312,40480,0,0,0,0,,,0.023023715,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
1,20,0,0,0,0,0,0,1,0,0,0,0,0,769,2,2,0,378.4,0.391564679,47753,0,1,2787.4,0,,,0.007924109,1,,,Moderate (30-60%),Target (<36%),<1%,Low (1K–5K),501-1000,0
0,18,0,0,0,0,0,0,0,0,1,0,1,0,2390,3,0,0,162.4,0.183804639,51207,0,1,14662.9,0,,640,0.003171441,1,Fair,631-640,Low (10-30%),Target (<36%),<1%,High (10K–15K),2001-2500,0
1,25,0,0,0,0,0,0,1,0,0,0,0,0,1244,1,2,0,203,0.331009841,39676,0,0,0,0,,,0.005116443,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,1001-1500,0
1,24,0,0,0,0,0,0,0,1,0,1,0,1,1732,1,2,0,237,0.608132198,23962,0,0,0,1,,,0.00989066,1,,,High (60-100%),Target (<36%),<1%,No debt,1501-2000,1
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,2,0,744.8,0.263648128,19702,1,1,4389.7,0,,,0.037803269,1,,,Low (10-30%),Target (<36%),3–5%,Low (1K–5K),1001-1500,0
1,21,0,0,0,0,0,0,0,0,1,0,0,1,2464,3,1,1,1116,0.568366922,52930,0,1,12563.6,0,,,0.021084451,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),2001-2500,0
1,19,0,0,0,0,0,0,0,0,0,0,1,0,1573,2,2,0,547.2,0.53906273,33098,0,1,10409,0,,,0.016532721,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1501-2000,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,164,1,0,0,783,0.236132027,53919,0,0,0,0,,612,0.014521783,1,Fair,611-620,Low (10-30%),Target (<36%),1–3%,No debt,<500,0
1,19,0,0,0,0,0,0,0,0,0,0,1,0,2213,1,0,0,130.4,0.263034707,19199,1,0,0,0,,,0.00679202,1,,,Low (10-30%),Target (<36%),<1%,No debt,2001-2500,0
0,19,0,0,1,0,0,1,1,1,0,0,1,0,554,2,2,1,548,0.350520727,47604,1,1,17100.3,1,,634,0.011511638,1,Fair,631-640,Moderate (30-60%),Target (<36%),1–3%,Very High (>15K),501-1000,1
0,22,0,0,0,0,0,1,0,0,0,0,1,1,994,1,0,0,807,0.291323075,21672,0,0,0,0,,543,0.037236988,1,Poor,541-550,Low (10-30%),Target (<36%),3–5%,No debt,501-1000,0
0,23,0,0,0,0,0,1,0,0,0,0,0,0,287,3,3,0,907,0.294783304,54308,0,1,12540,0,,508,0.016701039,1,Poor,501-510,Low (10-30%),Target (<36%),1–3%,High (10K–15K),<500,0
0,24,0,0,0,0,0,0,1,1,0,1,0,0,81,0,0,0,26,0.235502742,45220,0,0,0,1,,519,0.000574967,1,Poor,511-520,Low (10-30%),Target (<36%),<1%,No debt,<500,1
0,18,0,0,0,0,0,0,1,0,0,1,0,0,2692,2,1,0,559.2,0.344530476,42881,1,0,0,0,,621,0.013040741,1,Fair,621-630,Moderate (30-60%),Target (<36%),1–3%,No debt,>2500,0
0,21,0,0,0,0,0,0,1,1,0,0,0,0,2285,3,1,0,14.4,0,53800,1,0,0,0,,588,0.000267658,1,Fair,581-590,Very Low (<10%),Target (<36%),<1%,No debt,2001-2500,0
0,22,0,0,1,0,0,1,0,1,1,0,1,0,2786,2,1,0,113,0.429486683,52528,0,1,21059,0,,646,0.002151234,1,Fair,641-650,Moderate (30-60%),Target (<36%),<1%,Very High (>15K),>2500,0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,1858,3,2,0,76.8,0.45445425,54940,0,0,0,0,,,0.001397889,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,1501-2000,0
0,19,0,0,0,0,0,0,0,0,0,0,0,1,2206,0,2,1,968.8,0.242808856,25087,0,0,0,0,,649,0.038617611,1,Fair,641-650,Low (10-30%),Target (<36%),3–5%,No debt,2001-2500,0
0,19,0,0,0,0,0,0,1,0,0,0,0,1,2549,0,1,0,204,0.044016422,20321,0,0,0,0,,572,0.010038876,1,Poor,571-580,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,0
0,18,0,0,1,0,0,1,0,0,0,1,1,0,256,3,2,0,256,0.164412747,37856,1,1,1791.3,1,,528,0.006762468,1,Poor,521-530,Low (10-30%),Target (<36%),<1%,Low (1K–5K),<500,1
0,24,0,0,0,0,0,1,1,0,1,0,0,0,2799,0,0,0,924,0.401911252,50711,0,0,0,0,,579,0.018220899,1,Poor,571-580,Moderate (30-60%),Target (<36%),1–3%,No debt,>2500,0
